Population,ID,Sex,Mom_ID,Litter,Treatment,Pred_Tutor,Pred,Tutor_pop,Birth Day,Day,Date,Time,Water,Weight,Run,Latency,Attempts,Notes
AH,AHF2_1Y2G.4.3,F,AHF2_1Y2G,4,pred-/dif,pred-/AL,pred-,AL,24-Jul,1,8-Sep,14:11,pred+,0.136,1,28,11,
AH,AHF2_1Y2G.4.3,F,AHF2_1Y2G,4,pred-/dif,pred-/AL,pred-,AL,24-Jul,2,9-Sep,15:05,pred-,0.136,1,81,30,
AH,AHF2_1Y2G.4.4,F,AHF2_1Y2G,4,pred-/dif,pred-/AL,pred-,AL,24-Jul,1,8-Sep,14:06,pred-,0.161,1,15,83,
AH,AHF2_1Y2G.4.4,F,AHF2_1Y2G,4,pred-/dif,pred-/AL,pred-,AL,24-Jul,2,9-Sep,15:14,pred+,0.161,1,282,1,
AH,AHF2_1Y2P.4.1,F,AHF2_1Y2P,4,pred-/dif,pred-/AL,pred-,AL,2-Feb,1,21-Mar,16:00,pred-,0.099,1,144,6,
AH,AHF2_1Y2P.4.1,F,AHF2_1Y2P,4,pred-/dif,pred-/AL,pred-,AL,2-Feb,2,22-Mar,15:15,pred+,0.099,1,25,70,consider excluding latency because 2 numbers are written in data sheet (1:18 and 43)
AH,AHF2_1Y3O.2.2,F,AHF2_1Y3O,2,pred-/dif,pred-/AL,pred-,AL,6-Jan,1,21-Feb,15:56,pred-,0.106,1,11,118,
AH,AHF2_1Y3O.2.2,F,AHF2_1Y3O,2,pred-/dif,pred-/AL,pred-,AL,6-Jan,2,22-Feb,14:35,pred+,0.106,1,43,8,
AH,AHF2_1Y3O.3.2,F,AHF2_1Y3O,3,pred-/dif,pred-/AL,pred-,AL,1-Mar,1,16-Apr,18:07,pred-,0.135,1,58,22,
AH,AHF2_1Y3O.3.2,F,AHF2_1Y3O,3,pred-/dif,pred-/AL,pred-,AL,1-Mar,2,17-Apr,16:17,pred+,0.135,1,95,28,
AH,AHF2_1Y3O.5.4,F,AHF2_1Y3O,5,pred-/dif,pred-/AL,pred-,AL,18-Apr,1,3-Jun,16:17,pred-,0.133,1,18,14,
AH,AHF2_1Y3O.5.4,F,AHF2_1Y3O,5,pred-/dif,pred-/AL,pred-,AL,18-Apr,2,4-Jun,15:52,pred+,0.133,1,31,1,
AH,AHF2_1Y3O.6.4,F,AHF2_1Y3O,6,pred-/dif,pred-/AL,pred-,AL,13-May,1,28-Jun,13:42,pred-,0.146,1,8,59,
AH,AHF2_1Y3O.6.4,F,AHF2_1Y3O,6,pred-/dif,pred-/AL,pred-,AL,13-May,2,29-Jun,16:04,pred+,0.146,1,7,28,moved really slowly 
AH,AHF2_1Y3O.6.5,F,AHF2_1Y3O,6,pred-/dif,pred-/AL,pred-,AL,13-May,1,28-Jun,13:50,pred+,0.124,1,167,3,
AH,AHF2_1Y3O.6.5,F,AHF2_1Y3O,6,pred-/dif,pred-/AL,pred-,AL,13-May,2,29-Jun,15:24,pred-,0.124,1,38,46,
AH,AHF2_1G4G.3.1,M,AHF2_1G4G,3,pred-/dif,pred-/AL,pred-,AL,2-Feb,1,21-Mar,15:54,pred-,0.097,1,35,163,redone from 2/6
AH,AHF2_1G4G.3.1,M,AHF2_1G4G,3,pred-/dif,pred-/AL,pred-,AL,2-Feb,2,22-Mar,15:11,pred+,0.097,1,20,58,
AH,AHF2_1G4G.6.4,M,AHF2_1G4G,6,pred-/dif,pred-/AL,pred-,AL,14-Aug,1,29-Sep,15:23,pred-,0.1,1,120,5,
AH,AHF2_1G4G.6.4,M,AHF2_1G4G,6,pred-/dif,pred-/AL,pred-,AL,14-Aug,2,30-Sep,15:12,pred+,0.1,1,78,4,
AH,AHF2_1G4G.6.5,M,AHF2_1G4G,6,pred-/dif,pred-/AL,pred-,AL,14-Aug,1,29-Sep,15:29,pred-,0.109,1,125,5,
AH,AHF2_1G4G.6.5,M,AHF2_1G4G,6,pred-/dif,pred-/AL,pred-,AL,14-Aug,2,30-Sep,15:16,pred+,0.109,1,20,12,
AH,AHF2_1G4O.1.1,M,AHF2_1G4O,1,pred-/dif,pred-/AL,pred-,AL,22-Dec,1,7-Feb,15:30,pred-,0.082,2,354,54,
AH,AHF2_1G4O.1.1,M,AHF2_1G4O,1,pred-/dif,pred-/AL,pred-,AL,22-Dec,2,8-Feb,15:15,pred+,0.082,1,489,5,
